filename;latitude;longitude;Usage
image_0001.jpg;41.1069031853682;29.02071833610535;Public
image_0002.jpg;41.10180198492164;29.022086277473733;Public
image_0003.jpg;41.10778029440895;29.026120305061344;Public
image_0004.jpg;41.10773177736764;29.02370105806577;Public
image_0005.jpg;41.107525;29.031177777777778;Public
image_0006.jpg;41.104368799863735;29.016394615173343;Private
image_0007.jpg;41.10501957750964;29.024838209152225;Private
image_0008.jpg;41.10715225417637;29.03035488960556;Private
image_0009.jpg;41.103692598732174;29.019592404061672;Private
image_0010.jpg;41.10595659170027;29.02621686458588;Private
